probability_of_a_match,number_of_rounds,probability_of_win
0.24,75,3.312081211963579e-12
0.24,76,2.401107467499407e-12
0.24,77,1.7408336975117754e-12
0.24,78,1.2622261091014155e-12
0.24,79,9.152724234722442e-13
0.24,80,6.637371499374225e-13
0.24,81,4.813640152137353e-13
0.24,82,3.491259306816444e-13
0.24,83,2.532333224172419e-13
0.24,84,1.8369154077084534e-13
0.24,85,1.3325586690478444e-13
0.24,86,9.667445729712217e-14
0.24,87,7.013983408254475e-14
0.24,88,5.08914354052888e-14
0.24,89,3.692759709215223e-14
0.24,90,2.6796816706265665e-14
0.24,91,1.9446462766553627e-14
0.24,92,1.4113110566394741e-14
0.24,93,1.0243044702056844e-14
0.24,94,7.434625292890864e-15
0.24,95,5.396501549415107e-15
0.24,96,3.917312861350141e-15
0.24,97,2.8437177115525895e-15
0.24,98,2.064460293462833e-15
0.24,99,1.4988148272053548e-15
0.24,100,1.0882042128631987e-15
0.25,1,0.25
0.25,2,0.15625
0.25,3,0.103515625
0.25,4,0.070556640625
0.25,5,0.04892730712890625
0.25,6,0.03432750701904297
0.25,7,0.024290144443511963
0.25,8,0.017299838364124298
0.25,9,0.012384779402054846
0.25,10,0.008903279303922318
0.25,11,0.0064227104840028915
0.25,12,0.004646848715196938
0.25,13,0.0033704480688676597
0.25,14,0.002449966833534045
0.25,15,0.0017842616544088419
0.25,16,0.0013016253995430695
0.25,17,0.0009509599956171567
0.25,18,0.0006956962089357938
0.25,19,0.0005095663644806332
0.25,20,0.00037364259649035156
0.25,21,0.00027424834114745804
0.25,22,0.00020147754705712533
0.25,23,0.0001481398627522792
0.25,24,0.00010900623568078883
0.25,25,8.026747830016306e-05
0.25,26,5.914449162540315e-05
0.25,27,4.3606910080988396e-05
0.25,28,3.216952366634976e-05
0.25,29,2.3744663137709694e-05
0.25,30,1.7534959903237915e-05
0.25,31,1.2955303767814983e-05
0.25,32,9.575960732402093e-06
0.25,33,7.0810551320386714e-06
0.25,34,5.2382271317702345e-06
0.25,35,3.876431440395396e-06
0.25,36,2.8696753399861406e-06
0.25,37,2.125095307391796e-06
0.25,38,1.5742067021953045e-06
0.25,39,1.1664766490071113e-06
0.25,40,8.645995903966225e-07
0.25,41,6.410218938632292e-07
0.25,42,4.753835394192823e-07
0.25,43,3.526336874652858e-07
0.25,44,2.616417913947362e-07
0.25,45,1.9417336845606158e-07
0.25,46,1.4413428810987793e-07
0.25,47,1.0701290513567105e-07
0.25,48,7.94680491521505e-08
0.25,49,5.902460135188134e-08
0.25,50,4.38484704593346e-08
0.25,51,3.258019327161864e-08
0.25,52,2.421184036015312e-08
0.25,53,1.799592437543473e-08
0.25,54,1.3377967924523667e-08
0.25,55,9.946569728360585e-09
0.25,56,7.396416978030296e-09
0.25,57,5.500879331021396e-09
0.25,58,4.091696738179254e-09
0.25,59,3.0439208878979202e-09
0.25,60,2.264748592455657e-09
0.25,61,1.6852391977204735e-09
0.25,62,1.2541697094236058e-09
0.25,63,9.334748683317825e-10
0.25,64,6.948626353765571e-10
0.25,65,5.1730157921261e-10
0.25,66,3.8515517779828775e-10
0.25,67,2.867962085637639e-10
0.25,68,2.1357749825672087e-10
0.25,69,1.590672451788672e-10
0.25,70,1.1848080674590004e-10
0.25,71,8.82584052699227e-11
0.25,72,6.575122952284805e-11
0.25,73,4.898807258622473e-11
0.25,74,3.6501816991308405e-11
0.25,75,2.7200400239014302e-11
0.25,76,2.0270844758555202e-11
0.25,77,1.5107870033805248e-11
0.25,78,1.1260783347668507e-11
0.25,79,8.393963942133921e-12
0.25,80,6.257457707945961e-12
0.25,81,4.665092905277748e-12
0.25,82,3.478191362548199e-12
0.25,83,2.5934431088976673e-12
0.25,84,1.933879275227466e-12
0.25,85,1.4421508813751288e-12
0.25,86,1.0755239759587537e-12
0.25,87,8.021524607282298e-13
0.25,88,5.983021498020203e-13
0.25,89,4.4628309690960544e-13
0.25,90,3.3290933695753765e-13
0.25,91,2.4835140765995374e-13
0.25,92,1.8528141369211297e-13
0.25,93,1.3823599699599267e-13
0.25,94,1.0314163373477386e-13
0.25,95,7.696086539761465e-14
0.25,96,5.74286342829182e-14
0.25,97,4.2855758724687676e-14
0.25,98,3.1982440492451225e-14
0.25,99,2.3869058903346224e-14
0.25,100,1.7814755217536814e-14
0.26,1,0.26
0.26,2,0.16764800000000002
0.26,3,0.11434242559999999
0.26,4,0.0801557838848
0.26,5,0.05713449935378432
0.26,6,0.04118903683622163
0.26,7,0.02994004454549839
0.26,8,0.021901193254767835
0.26,9,0.016101162048505736
0.26,10,0.01188544158862972
0.26,11,0.008803244046005167
0.26,12,0.0065390056912378505
0.26,13,0.0048690544299851285
0.26,14,0.003633290496658114
0.26,15,0.0027162124279656607
0.26,16,0.0020339552556888057
0.26,17,0.0015252984208977965
0.26,18,0.0011453497179030817
0.26,19,0.000861063655017925
0.26,20,0.000648034641916151
0.26,21,0.00048818619164510397
0.26,22,0.00036809585687194886
0.26,23,0.0002777748243587428
0.26,24,0.0002097748678805395
0.26,25,0.0001585323673437814
0.26,26,0.00011988486349895416
0.26,27,9.071372759687856e-05
0.26,28,6.86793641138678e-05
0.26,29,5.202453308692353e-05
0.26,30,3.942796750717922e-05
0.26,31,2.9895222584844183e-05
0.26,32,2.267715113281238e-05
0.26,33,1.7208920652539385e-05
0.26,34,1.3064333356400354e-05
0.26,35,9.92156594951394e-06
0.26,36,7.53744463597901e-06
0.26,37,5.728108480900533e-06
0.26,38,4.354460471964954e-06
0.26,39,3.3112109578101963e-06
0.26,40,2.5186195269230218e-06
0.26,41,1.916265891277386e-06
0.26,42,1.4583478425283215e-06
0.26,43,1.1101295137624368e-06
0.26,44,8.452568370816335e-07
0.26,45,6.43727257062332e-07
0.26,46,4.903533941103982e-07
0.26,47,3.7359987488832694e-07
0.26,48,2.8470225488218373e-07
0.26,49,2.1699930911250517e-07
0.26,50,1.6542679742636816e-07
0.26,51,1.2613349448265361e-07
0.26,52,9.618984036016585e-08
0.26,53,7.336678718800567e-08
0.26,54,5.596786944521396e-08
0.26,55,4.270164574938788e-08
0.26,56,3.258477531813747e-08
0.26,57,2.486834918678189e-08
0.26,58,1.898188028127214e-08
0.26,59,1.4490707488054594e-08
0.26,60,1.1063592487594881e-08
0.26,61,8.448064014110703e-09
0.26,62,6.451652569058208e-09
0.26,63,4.927604951978973e-09
0.26,64,3.764006691954985e-09
0.26,65,2.8754976055789187e-09
0.26,66,2.1969609864952435e-09
0.26,67,1.6787152785548626e-09
0.26,68,1.282849813789848e-09
0.26,69,9.804318849131863e-10
0.26,70,7.493775746617617e-10
0.26,71,5.728283160434762e-10
0.26,72,4.379128538603691e-10
0.26,73,3.3480296235658403e-10
0.26,74,2.5599310610528007e-10
0.26,75,1.957508519867833e-10
0.26,76,1.4969749614231887e-10
0.26,77,1.14488008896642e-10
0.26,78,8.756674349538387e-11
0.26,79,6.698094921855515e-11
0.26,80,5.123839300181313e-11
0.26,81,3.9198643432810994e-11
0.26,82,2.9990048406903895e-11
0.26,83,2.294632669162395e-11
0.26,84,1.7558134171785946e-11
0.26,85,1.3436064261871398e-11
0.26,86,1.0282380112158047e-11
0.26,87,7.869415693571323e-12
0.26,88,6.023070790915165e-12
0.26,89,4.610197316541692e-12
0.26,90,3.528958584067676e-12
0.26,91,2.7014601518251835e-12
0.26,92,2.0681164945991296e-12
0.26,93,1.5833442446860086e-12
0.26,94,1.2122693314944467e-12
0.26,95,9.2820911688303e-13
0.26,96,7.107469690926364e-13
0.26,97,5.442597609288758e-13
0.26,98,4.167916619971943e-13
0.26,99,3.1919272045191207e-13
0.26,100,2.444599293084268e-13
0.27,1,0.27
0.27,2,0.17933400000000002
0.27,3,0.1257231942
0.27,4,0.0905008947894
0.27,5,0.0662027915409976
0.27,6,0.04896182940006119
0.27,7,0.036501786060806445
0.27,8,0.027379966332757175
0.27,9,0.020637801326262757
0.27,10,0.015617585262427014
0.27,11,0.011857543834935319
0.27,12,0.00902787338538425
0.27,13,0.006889915877225941
0.27,14,0.005269179627772083
0.27,15,0.004037026470812284
0.27,16,0.003097977906830083
0.27,17,0.002380767827981626
0.27,18,0.0018319502378811537
0.27,19,0.0014112815550691414
0.27,20,0.0010883541336856508
0.27,21,0.0008401230541423753
0.27,22,0.0006490773230093122
0.27,23,0.0005018800607300348
0.27,24,0.00038835257222690015
0.27,25,0.0003007121892896926
0.27,26,0.00023299842494015207
0.27,27,0.00018063953796953547
0.27,28,0.00014012423123167233
0.27,29,0.00010875236103940052
0.27,30,8.444521965670286e-05
0.27,31,6.560086522835265e-05
0.27,32,5.098360343948186e-05
0.27,33,3.9639420638797785e-05
0.27,34,3.083117833873936e-05
0.27,35,2.398888390686397e-05
0.27,36,1.8671482761488996e-05
0.27,37,1.453746924101722e-05
0.27,38,1.1322256984984566e-05
0.27,39,8.82073723894232e-06
0.27,40,6.873823663057226e-06
0.27,41,5.3580638331197645e-06
0.27,42,4.177612259415638e-06
0.27,43,3.258023619906215e-06
0.27,44,2.5414502119052322e-06
0.27,45,1.982923583342575e-06
0.27,46,1.5474738826499853e-06
0.27,47,1.207896953232926e-06
0.27,48,9.430226132629888e-07
0.27,49,7.363709641476936e-07
0.27,50,5.751092954154244e-07
0.27,51,4.492419827831886e-07
0.27,52,3.509810737909854e-07
0.27,53,2.7425706641700784e-07
0.27,54,2.143385119034927e-07
0.27,55,1.6753612897298597e-07
0.27,56,1.3097257571332373e-07
0.27,57,1.0240325162153023e-07
0.27,58,8.007677593838454e-08
0.27,59,6.262632555659069e-08
0.27,60,4.898498314576244e-08
0.27,61,3.831977240870459e-08
0.27,62,2.9980242002502405e-08
0.27,63,2.3458379502609458e-08
0.27,64,1.8357351333050334e-08
0.27,65,1.4367119869551797e-08
0.27,66,1.1245420602851258e-08
0.27,67,8.802917959332032e-09
0.27,68,6.891619539988565e-09
0.27,69,5.39583177554443e-09
0.27,70,4.225098202589193e-09
0.27,71,3.308684756163555e-09
0.27,72,2.5912724257139903e-09
0.27,73,2.0295923768967646e-09
0.27,74,1.5897968986728773e-09
0.27,75,1.245404946040027e-09
0.27,76,9.756964546873266e-10
0.27,77,7.644572154639526e-10
0.27,78,5.989976344303985e-10
0.27,79,4.693855080107678e-10
0.27,80,3.6784605564576665e-10
0.27,81,2.882926870527283e-10
0.27,82,2.2595997098112958e-10
0.27,83,1.7711651076046934e-10
0.27,84,1.388403037347777e-10
0.27,85,1.0884296688726439e-10
0.27,86,8.533218357768833e-11
0.27,87,6.69040488859608e-11
0.27,88,5.245880600874395e-11
0.27,89,4.113488464641664e-11
0.27,90,3.225726110953789e-11
0.27,91,2.5297026704154213e-11
0.27,92,1.983972871656074e-11
0.27,93,1.5560578318649753e-11
0.27,94,1.2205034221139488e-11
0.27,95,9.57359512150536e-12
0.27,96,7.509887622649344e-12
0.27,97,5.8913347294684426e-12
0.27,98,4.621845293953606e-12
0.27,99,3.6260862794781998e-12
0.27,100,2.8449948038143365e-12
0.28,1,0.28
0.28,2,0.19129600000000002
0.28,3,0.13764782080000004
0.28,4,0.10159624437760002
0.28,5,0.07615825205395459
0.28,6,0.05769637474514566
0.28,7,0.04404935503847412
0.28,8,0.033830466682118455
0.28,9,0.026104987084713576
0.28,10,0.020221261823330026
0.28,11,0.015713857575089307
0.28,12,0.012244303643207147
0.28,13,0.009563032364648612
0.28,14,0.0074840158655816846
0.28,15,0.005867372635907244
0.28,16,0.004607166905511423
0.28,17,0.0036226941889262077
0.28,18,0.002852164766702899
0.28,19,0.0022480696996798255
0.28,20,0.001773746970844193
0.28,21,0.0014008154685244648
0.28,22,0.0011072437898983752
0.28,23,0.0008758879564734797
0.28,24,0.0006933783807490754
0.28,25,0.0005492688197570857
0.28,26,0.00043538306877282404
0.28,27,0.00034531170436360976
0.28,28,0.0002740232218125304
0.28,29,0.00021756274363207546
0.28,30,0.000172818009365369
0.28,31,0.00013733722488124147
0.28,32,0.00010918699937982164
0.28,33,8.684135037679463e-05
0.28,34,6.909484222311788e-05
0.28,35,5.4994510756450665e-05
0.28,36,4.378643928022622e-05
0.28,37,3.4873780842332555e-05
0.28,38,2.77837369667221e-05
0.28,39,2.2141554682552087e-05
0.28,40,1.765003037313527e-05
0.28,41,1.407333973506047e-05
0.28,42,1.1224270103669923e-05
0.28,43,8.954131421377933e-06
0.28,44,7.144778097668373e-06
0.28,45,5.7022958333407944e-06
0.28,46,4.5520027764754105e-06
0.28,47,3.6344890241262986e-06
0.28,48,2.902477030932978e-06
0.28,49,2.318331460364708e-06
0.28,50,1.8520831558105595e-06
0.28,51,1.4798603493460187e-06
0.28,52,1.1826426279300037e-06
0.28,53,9.452708378661853e-07
0.28,54,7.556600434484152e-07
0.28,55,6.04173659428245e-07
0.28,56,4.831255722641419e-07
0.28,57,3.8638394100259075e-07
0.28,58,3.0905580930283125e-07
0.28,59,2.4723596773982363e-07
0.28,60,1.9780691801389228e-07
0.28,61,1.5827949552905946e-07
0.28,62,1.2666585182000973e-07
0.28,63,1.0137820019663667e-07
0.28,64,8.114807889793822e-08
0.28,65,6.496195884684961e-08
0.28,66,5.200987538541479e-08
0.28,67,4.16444407374418e-08
0.28,68,3.334813249478e-08
0.28,69,2.6707181755595185e-08
0.28,70,2.1390725330792483e-08
0.28,71,1.713415765883845e-08
0.28,72,1.3725833996418829e-08
0.28,73,1.0996448407553197e-08
0.28,74,8.810547050464974e-09
0.28,75,7.059746404584405e-09
0.28,76,5.657313068018571e-09
0.28,77,4.533831103323768e-09
0.28,78,3.6337382070999168e-09
0.28,79,2.9125560834793293e-09
0.28,80,2.334675586488445e-09
0.28,81,1.87158527141983e-09
0.28,82,1.5004544020279514e-09
0.28,83,1.2029993465910575e-09
0.28,84,9.64576576372917e-10
0.28,85,7.734568837660553e-10
0.28,86,6.202445455309303e-10
0.28,87,4.974124324290138e-10
0.28,88,3.989298797340043e-10
0.28,89,3.199647783912783e-10
0.28,90,2.5664505919503653e-10
0.28,91,2.0586770997718633e-10
0.28,92,1.6514583828444643e-10
0.28,93,1.324861889804048e-10
0.28,94,1.0629104316441478e-10
0.28,95,8.527963803364516e-11
0.28,96,6.842521776302123e-11
0.28,97,5.490460182192671e-11
0.28,98,4.4057778285249225e-11
0.28,99,3.535552671639483e-11
0.28,100,2.8373472948569247e-11
0.29,1,0.29
0.29,2,0.20352199999999998
0.29,3,0.15010453939999996
0.29,4,0.11344235560819997
0.29,5,0.08702175285863928
0.29,6,0.06743774527655495
0.29,7,0.05265247235233399
0.29,8,0.041345118056259074
0.29,9,0.03261442712040224
0.29,10,0.025823307679784524
0.29,11,0.020509800007056413
0.29,12,0.0163325134932184
0.29,13,0.013035450869287955
0.29,14,0.010424430891336881
0.29,15,0.00835079612513354
0.29,16,0.006699878718136637
0.29,17,0.005382673628496572
0.29,18,0.004329730872899235
0.29,19,0.0034866162097645453
0.29,20,0.0028105003741688613
0.29,21,0.0022675725970271706
0.29,22,0.0018310638349459864
0.29,23,0.0014797258688697878
0.29,24,0.001196654397158569
0.29,25,0.0009683737677259878
0.29,26,0.0007841220798533272
0.29,27,0.0006352906529931717
0.29,28,0.0005149830447045185
0.29,29,0.0004176670796998862
0.29,30,0.00033889953762513683
0.29,31,0.0002751078057665859
0.29,32,0.00022341633654270114
0.29,33,0.00018150844708448457
0.29,34,0.00014751606898969418
0.29,35,0.0001199316540761023
0.29,36,9.753768029787994e-05
0.29,37,7.93501656719658e-05
0.29,38,6.457335074830484e-05
0.29,39,5.2563299987324076e-05
0.29,40,4.279863599861551e-05
0.29,41,3.485698595327887e-05
0.29,42,2.8396008134199864e-05
0.29,43,2.3138095151594412e-05
0.29,44,1.885803170670746e-05
0.29,45,1.537302895637595e-05
0.29,46,1.2534672338593727e-05
0.29,47,1.0222411290257912e-05
0.29,48,8.338292433395442e-06
0.29,49,6.802696312576345e-06
0.29,50,5.550884622623888e-06
0.29,51,4.530202435857491e-06
0.29,52,3.697810095160421e-06
0.29,53,3.0188436703988335e-06
0.29,54,2.464922363978716e-06
0.29,55,2.0129369388626584e-06
0.29,56,1.6440658808836698e-06
0.29,57,1.3429761972049564e-06
0.29,58,1.0971739746348676e-06
0.29,59,8.964764599063902e-07
0.29,60,7.325827873957654e-07
0.29,61,5.987248156216791e-07
0.29,62,4.89383041097666e-07
0.29,63,4.0005539661176904e-07
0.29,64,3.270690394703161e-07
0.29,65,2.6742709732034745e-07
0.29,66,2.1868384840836187e-07
0.29,67,1.7884303693629834e-07
0.29,68,1.4627501693871572e-07
0.29,69,1.1964922376628027e-07
0.29,70,9.787912633016401e-08
0.29,71,8.00773444549814e-08
0.29,72,6.55190472374571e-08
0.29,73,5.36120990212454e-08
0.29,74,4.387270470702326e-08
0.29,75,3.590553796305419e-08
0.29,76,2.938752448959014e-08
0.29,77,2.4054605934271113e-08
0.29,78,1.969093493757894e-08
0.29,79,1.61200534497858e-08
0.29,80,1.319768924120738e-08
0.29,81,1.0805872948785857e-08
0.29,82,8.848132926263777e-09
0.29,83,7.245569918608185e-09
0.29,84,5.933650054979573e-09
0.29,85,4.859584386245556e-09
0.29,86,3.9801874337395665e-09
0.29,87,3.260126983481703e-09
0.29,88,2.6704934827805475e-09
0.29,89,2.1876305483711296e-09
0.29,90,1.7921788261127663e-09
0.29,91,1.4682941989855124e-09
0.29,92,1.2030084870005499e-09
0.29,93,9.85706616524902e-10
0.29,94,8.076989993373078e-10
0.29,95,6.618717506807312e-10
0.29,96,5.424005514345093e-10
0.29,97,4.4451655340042087e-10
0.29,98,3.6431484551016874e-10
0.29,99,2.9859772974185105e-10
0.29,100,2.4474646984429075e-10
0.3,1,0.3
0.3,2,0.216
0.3,3,0.16307999999999995
0.3,4,0.12603599999999998
0.3,5,0.09880865999999995
0.3,6,0.07822479095999996
0.3,7,0.06237521179919996
0.3,8,0.05001254005377597
0.3,9,0.04027693605425457
0.3,10,0.03255335688130093
0.3,11,0.026389940701283924
0.3,12,0.021448001546033928
0.3,13,0.017469740526057678
0.3,14,0.014256529702230708
0.3,15,0.011653828934930862
0.3,16,0.009540435911883388
0.3,17,0.007820662339378505
0.3,18,0.006418541062030409
0.3,19,0.005273475352196129
0.3,20,0.004336932134784303
0.3,21,0.003569903239724017
0.3,22,0.0029409395457745823
0.3,23,0.0024246175315597285
0.3,24,0.00200033552857448
0.3,25,0.001651363581119112
0.3,26,0.0013640898739738533
0.3,27,0.0011274205352411058
0.3,28,0.0009322998137525517
0.3,29,0.0007713252185244946
0.3,30,0.0006384379147396777
0.3,31,0.0005286730018134192
0.3,32,0.0004379576124853305
0.3,33,0.0003629473249346672
0.3,34,0.00030089335977911855
0.3,35,0.00024953457802979085
0.3,36,0.0002070095067413476
0.3,37,0.00017178457269075375
0.3,38,0.00014259547869099136
0.3,39,0.00011839925603329364
0.3,40,9.833500370637197e-05
0.3,41,8.169170640119046e-05
0.3,42,6.788182897869593e-05
0.3,43,5.641963071802548e-05
0.3,44,4.690334053416653e-05
0.3,45,3.900049409511639e-05
0.3,46,3.243586298641208e-05
0.3,47,2.6981510791310363e-05
0.3,48,2.2448595967040728e-05
0.3,49,1.868061051936659e-05
0.3,50,1.554779976144324e-05
0.3,51,1.2942554335154179e-05
0.3,52,1.0775603139405513e-05
0.3,53,8.972866433096144e-06
0.3,54,7.472853437846271e-06
0.3,55,6.22450928957721e-06
0.3,56,5.18543301489071e-06
0.3,57,4.320402016214198e-06
0.3,58,3.6001498899477554e-06
0.3,59,3.000353722729321e-06
0.3,60,2.500794677693493e-06
0.3,61,2.084661993178648e-06
0.3,62,1.7379757140467724e-06
0.3,63,1.449107759531406e-06
0.3,64,1.2083844641019346e-06
0.3,65,1.0077566425674345e-06
0.3,66,8.40525636863754e-07
0.3,67,7.01115789381686e-07
0.3,68,5.84885429973502e-07
0.3,69,4.879698214669723e-07
0.3,70,4.0715063141674434e-07
0.3,71,3.3974742691485423e-07
0.3,72,2.835274583148271e-07
0.3,73,2.3663063450763782e-07
0.3,74,1.9750711985205112e-07
0.3,75,1.6486541992183593e-07
0.3,76,1.3762918550006438e-07
0.3,77,1.1490126461810716e-07
0.3,78,9.5933781554801e-08
0.3,79,8.010322838273396e-08
0.3,80,6.688972615278333e-08
0.3,81,5.585975516633202e-08
0.3,82,4.66517719798649e-08
0.3,83,3.89642289439437e-08
0.3,84,3.2545593613951654e-08
0.3,85,2.7186033113408308e-08
0.3,86,2.271048482718987e-08
0.3,87,1.8972881595606046e-08
0.3,88,1.585133848288329e-08
0.3,89,1.3244140542143254e-08
0.3,90,1.1066397902653212e-08
0.3,91,9.247256884465862e-09
0.3,92,7.727574464657044e-09
0.3,93,6.45797891262981e-09
0.3,94,5.397252306258667e-09
0.3,95,4.51098137365878e-09
0.3,96,3.770432040713735e-09
0.3,97,3.151610504371534e-09
0.3,98,2.6344798473004123e-09
0.3,99,2.20230636960526e-09
0.3,100,1.8411141115800388e-09
0.31,1,0.31
0.31,2,0.228718
0.31,3,0.17655934059999995
0.31,4,0.13937021644779995
0.31,5,0.11152857865125543
0.31,6,0.09008940388240429
0.31,7,0.07327465911119432
0.31,8,0.05991558460110761
0.31,9,0.0491999369597043
0.31,10,0.040540979288941
0.31,11,0.03350280531499118
0.31,12,0.02775466464706659
0.31,13,0.023041476706401828
0.31,14,0.019163973242908774
0.31,15,0.015964866706807145
0.31,16,0.01331894967292821
0.31,17,0.011125848265434732
0.31,18,0.009304619453073058
0.31,19,0.007789660619323541
0.31,20,0.006527572335329454
0.31,21,0.005474725667938749
0.31,22,0.004595358050000678
0.31,23,0.003860070819136223
0.31,24,0.003244635406902675
0.31,25,0.0027290390044187136
0.31,26,0.002296717608092743
0.31,27,0.0019339367711404048
0.31,28,0.0016292895478605852
0.31,29,0.0013732879579837682
0.31,30,0.0011580294625178982
0.31,31,0.000976923879942643
0.31,32,0.0008244692005307935
0.31,33,0.0006960671053214021
0.31,34,0.0005878708307308703
0.31,35,0.0004966594619050297
0.31,36,0.0004197338782686034
0.31,37,0.0003548304812614899
0.31,38,0.00030004955838327493
0.31,39,0.00025379571863202435
0.31,40,0.00021472830238304874
0.31,41,0.0001817200470572081
0.31,42,0.00015382259676696496
0.31,43,0.00013023769375658935
0.31,44,0.00011029309310155934
0.31,45,9.3422408693848e-05
0.31,46,7.914823508771281e-05
0.31,47,6.70680019648406e-05
0.31,48,5.684211032895295e-05
0.31,49,4.818397570449232e-05
0.31,50,4.0851666535974105e-05
0.31,51,3.464087804863575e-05
0.31,52,2.937902497406285e-05
0.31,53,2.492027234394486e-05
0.31,54,2.114135329880769e-05
0.31,55,1.793804760022369e-05
0.31,56,1.5222215138658027e-05
0.31,57,1.2919295904668477e-05
0.31,58,1.0966202222949486e-05
0.31,59,9.309541018474847e-06
0.31,60,7.904113889608962e-06
0.31,61,6.71165113358012e-06
0.31,62,5.699742877669865e-06
0.31,63,4.8409363408788295e-06
0.31,64,4.111973173340725e-06
0.31,65,3.493144950368136e-06
0.31,66,2.9677483645433683e-06
0.31,67,2.5216245708543616e-06
0.31,68,2.1427695866895717e-06
0.31,69,1.8210047058003202e-06
0.31,70,1.5476976159729899e-06
0.31,71,1.315526366674271e-06
0.31,72,1.1182795593017517e-06
0.31,73,9.506871656942957e-07
0.31,74,8.082772510660207e-07
0.31,75,6.872546113732844e-07
0.31,76,5.843979539889866e-07
0.31,77,4.969727726418894e-07
0.31,78,4.226575081641738e-07
0.31,79,3.594809585199067e-07
0.31,80,3.0576921565614277e-07
0.31,81,2.601006720068704e-07
0.31,82,2.2126786362812281e-07
0.31,83,1.8824510638200333e-07
0.31,84,1.601610417346318e-07
0.31,85,1.3627534415158051e-07
0.31,86,1.1595895661041632e-07
0.31,87,9.867731764636031e-08
0.31,88,8.397612533893036e-08
0.31,89,7.14692530423878e-08
0.31,90,6.082849040848242e-08
0.31,91,5.1774832990632803e-08
0.31,92,4.4071085842858645e-08
0.31,93,3.7515582207460235e-08
0.31,94,3.193684861373618e-08
0.31,95,2.71890733236203e-08
0.31,96,2.3148256767177274e-08
0.31,97,1.970894101026427e-08
0.31,98,1.67814308948434e-08
0.31,99,1.4289432717919676e-08
0.31,100,1.21680475304719e-08
0.32,1,0.32
0.32,2,0.241664
0.32,3,0.1905262592
0.32,4,0.15343435120639998
0.32,5,0.12518515407847422
0.32,6,0.1030558630163423
0.32,7,0.08539963932090264
0.32,8,0.07112937486671415
0.32,9,0.05948483907209634
0.32,10,0.0499125131139963
0.32,11,0.04199734822576255
0.32,12,0.03542114141244018
0.32,13,0.02993570810255422
0.32,14,0.025344822378588126
0.32,15,0.021491626406381612
0.32,16,0.01824959869131335
0.32,17,0.015515920921967788
0.32,18,0.01320650994242466
0.32,19,0.011252235051291271
0.32,20,0.009595997366713049
0.32,21,0.008190447818072587
0.32,22,0.00699618583205823
0.32,23,0.005980324872900126
0.32,24,0.005115341350110895
0.32,25,0.004378144726421727
0.32,26,0.0037493219039878567
0.32,27,0.003212520045969232
0.32,28,0.002753940159439069
0.32,29,0.002361919867868141
0.32,30,0.0020265884140465876
0.32,31,0.0017395804582637456
0.32,32,0.0014937979549167041
0.32,33,0.0012832115060489595
0.32,34,0.0011026942495165123
0.32,35,0.0009478826503142853
0.32,36,0.000815059606025033
0.32,37,0.0007010561112999647
0.32,38,0.0006031683970832746
0.32,39,0.0005190880025560965
0.32,40,0.0004468426781262621
0.32,41,0.00038474637687233075
0.32,42,0.0003313568857805604
0.32,43,0.0002854398895562629
0.32,44,0.00024593845875790917
0.32,45,0.00021194711845200947
0.32,46,0.00018268978987866832
0.32,47,0.00015750101085789121
0.32,48,0.00013580993497330987
0.32,49,0.00011712668827805716
0.32,50,0.00010103072808842295
0.32,51,8.716090357685591e-05
0.32,52,7.520696415782e-05
0.32,53,6.490230056509045e-05
0.32,54,5.601773627200802e-05
0.32,55,4.835621451835256e-05
0.32,56,4.1748249516101615e-05
0.32,57,3.604803010615987e-05
0.32,58,3.113008080696074e-05
0.32,59,2.6886399315127666e-05
0.32,60,2.3224001490148794e-05
0.32,61,2.006281501551103e-05
0.32,62,1.7333871559687348e-05
0.32,63,1.4977754598189614e-05
0.32,64,1.2943266301277285e-05
0.32,65,1.11862822080638e-05
0.32,66,9.668766937597959e-06
0.32,67,8.35792804990732e-06
0.32,68,7.225488465403519e-06
0.32,69,6.247060664392238e-06
0.32,70,5.40160829159492e-06
0.32,71,4.670982844492722e-06
0.32,72,4.039524880610732e-06
0.32,73,3.4937206814295317e-06
0.32,74,3.021906596701718e-06
0.32,75,2.6140143942421098e-06
0.32,76,2.2613518837080722e-06
0.32,77,1.9564138914416723e-06
0.32,78,1.692719356664353e-06
0.32,79,1.4646709138702651e-06
0.32,80,1.2674338363800631e-06
0.32,81,1.096831653834138e-06
0.32,82,9.492561322923865e-07
0.32,83,8.215896284275068e-07
0.32,84,7.111381066259493e-07
0.32,85,6.155733461247312e-07
0.32,86,5.328830701582372e-07
0.32,87,4.613279052139848e-07
0.32,88,3.994042299658608e-07
0.32,89,3.458121037511208e-07
0.32,90,2.99427576569414e-07
0.32,91,2.5927877906856165e-07
0.32,92,2.2452527403890075e-07
0.32,93,1.9444022245009382e-07
0.32,94,1.6839497864882474e-07
0.32,95,1.4584578238145877e-07
0.32,96,1.2632226100524407e-07
0.32,97,1.094174946296256e-07
0.32,98,9.477943086625296e-08
0.32,99,8.210346511916262e-08
0.32,100,7.112602756615911e-08
0.33,1,0.33
0.33,2,0.254826
0.33,3,0.2049630858
0.33,4,0.16821411803459999
0.33,5,0.1397759293293452
0.33,6,0.1171402686475106
0.33,7,0.09878953853274726
0.33,8,0.08371939465592892
0.33,9,0.07122436161406191
0.33,10,0.060787677015291815
0.33,11,0.05201898334909714
0.33,12,0.0446164521560956
0.33,13,0.03834243684346714
0.33,14,0.0330071107449204
0.33,15,0.02845706842913547
