probability_of_a_match,number_of_rounds,probability_of_win
0.02,64,6.311460931863621e-73
0.02,65,4.91017093646018e-74
0.02,66,3.820447209065224e-75
0.02,67,2.9729058147262604e-76
0.02,68,2.3136411418644377e-77
0.02,69,1.8007663020904023e-78
0.02,70,1.4017284507675783e-79
0.02,71,1.0912250382815728e-80
0.02,72,8.495861716557742e-82
0.02,73,6.615185912690972e-83
0.02,74,5.151302518497863e-84
0.02,75,4.011726887639102e-85
0.02,76,3.1245244637109276e-86
0.02,77,2.433737699275593e-87
0.02,78,1.895832316086922e-88
0.02,79,1.4769352819665446e-89
0.02,80,1.1506878118276458e-90
0.02,81,8.965762106700271e-92
0.02,82,6.986340327143837e-93
0.02,83,5.444328220779544e-94
0.02,84,4.242971674342266e-95
0.02,85,3.3069414010181634e-96
0.02,86,2.5775831762567695e-97
0.02,87,2.009222408385702e-98
0.02,88,1.5662886819810883e-99
0.02,89,1.2210780860757811e-100
0.02,90,9.52011678943472e-102
0.02,91,7.422799455508458e-103
0.02,92,5.78787590154076e-104
0.02,93,4.513320409640006e-105
0.02,94,3.519638422311176e-106
0.02,95,2.7448861574371657e-107
0.02,96,2.140792219743244e-108
0.02,97,1.6697371066018386e-109
0.02,98,1.3024006409474529e-110
0.02,99,1.0159294779192006e-111
0.02,100,7.925095977533332e-113
0.03,1,0.03
0.03,2,0.002646
0.03,3,0.0002579957999999999
0.03,4,2.6359392599999995e-05
0.03,5,2.7672245063099994e-06
0.03,6,2.9570897681503547e-07
0.03,7,3.199826981792288e-08
0.03,8,3.4949096873492583e-09
0.03,9,3.844805131004115e-10
0.03,10,4.2540665877988235e-11
0.03,11,4.728957572132677e-12
0.03,12,5.277330365493441e-13
0.03,13,5.908643960502342e-14
0.03,14,6.63407048548598e-15
0.03,15,7.466667115973289e-16
0.03,16,8.421603895937792e-17
0.03,17,9.516444986040988e-18
0.03,18,1.0771485045591706e-18
0.03,19,1.22101452738145e-19
0.03,20,1.3859435822808307e-20
0.03,21,1.5750493230867469e-21
0.03,22,1.7919203424695726e-22
0.03,23,2.0406922835572822e-23
0.03,24,2.326131236163442e-24
