time,humidity,temperature
5580000, 54.10, 19.10
5619998, 55.80, 22.70
5659999, 55.60, 22.70
5680000, 55.60, 23.10
5699999, 55.80, 22.70
5719998, 55.70, 22.70
5739999, 55.80, 22.70
5759998, 55.50, 22.70
5779999, 55.50, 22.70
5800000, 55.50, 22.70
5819999, 55.50, 22.70
5859998, 55.50, 22.70
5879999, 54.80, 22.70
5920000, 55.80, 22.80
5939998, 55.70, 22.80
5979999, 55.60, 22.70
5999998, 55.60, 22.70
6019999, 55.40, 22.70
6039999, 55.10, 22.80
6079998, 55.10, 22.70
6119998, 55.00, 22.70
6139999, 54.80, 22.70
6160000, 54.60, 22.80
6179998, 53.40, 22.70
6219999, 54.50, 22.70
6239998, 54.70, 23.80
6259998, 54.60, 22.80
6280000, 54.30, 22.70
6299999, 54.40, 22.70
6320000, 54.30, 22.70
6339999, 54.30, 22.70
6359999, 54.20, 22.70
6380000, 54.20, 22.40
6399998, 54.40, 22.70
6419998, 54.50, 22.70
6439999, 55.50, 22.70
6479998, 54.60, 22.70
6499999, 54.30, 22.70
6520000, 55.00, 22.80
6560000, 54.80, 22.80
6599999, 54.60, 22.70
6639998, 54.70, 22.80
6660000, 54.70, 22.80
6679999, 54.70, 22.80
6699999, 54.70, 22.80
6720000, 54.80, 22.80
6759999, 54.70, 22.80
6779999, 55.00, 22.80
6819999, 54.80, 22.80
6840000, 54.90, 22.80
6879998, 55.00, 22.80
6899999, 54.90, 22.80
6919999, 55.20, 22.80
6939999, 55.20, 22.80
6960000, 55.30, 22.80
6979998, 55.10, 22.80
7019999, 55.10, 22.90
7039998, 55.00, 22.80
7079999, 55.20, 22.90
7100000, 55.10, 22.90
7139998, 55.20, 22.90
7159999, 55.40, 22.90
7179999, 55.40, 22.90
7219998, 55.80, 22.90
7259999, 55.70, 23.20
7280000, 55.70, 23.30
7299999, 55.30, 23.30
7319999, 55.30, 23.40
7339999, 55.10, 23.40
7359998, 55.10, 23.40
7379999, 55.00, 23.40
7399999, 54.90, 23.40
7419999, 54.90, 23.40
7459999, 55.50, 23.40
7500000, 55.20, 23.40
7539998, 55.10, 23.40
7560000, 55.10, 23.40
7599998, 54.40, 23.50
7619998, 54.60, 23.50
7639999, 54.90, 23.50
7659999, 54.90, 23.50
7699998, 53.50, 20.70
7719998, 54.70, 23.50
7739999, 54.60, 23.50
7760000, 54.60, 23.60
7799998, 54.60, 23.60
7819999, 54.10, 23.40
7840000, 52.70, 19.90
7859998, 54.60, 23.40
7879999, 54.70, 23.40
7919998, 53.00, 20.10
